χ1,G+,T,G-,,χ2,G+,T,G-,,χ3,G+,T,G-,,χ4,G+,T,G-,,χ5,G+,T,G-
ARG,0<=x<120,120<=x<240,-120<=x<0,,ARG,0<=x<120,120<=x<240,-120<=x<0,,ARG,0<=x<120,120<=x<240,-120<=x<0,,ARG,0<=x<120,120<=x<240,-120<=x<0,,ARG,0<=x<120,120<=x<240,-120<=x<0
ASN,0<=x<120,120<=x<240,-120<=x<0,,ASN,30<=x<90,-30<=x<30,-90<=x<-30,,ASN,N/A,N/A,N/A,,ASN,N/A,N/A,N/A,,,,,
ASP,0<=x<120,120<=x<240,-120<=x<0,,ASP,30<=x<90,-30<=x<30,-90<=x<-30,,ASP,N/A,N/A,N/A,,ASP,N/A,N/A,N/A,,,,,
CYS,0<=x<120,120<=x<240,-120<=x<0,,CYS,N/A,N/A,N/A,,CYS,N/A,N/A,N/A,,CYS,N/A,N/A,N/A,,,,,
GLN,0<=x<120,120<=x<240,-120<=x<0,,GLN,0<=x<120,120<=x<240,-120<=x<0,,GLN,30<=x<90,-30<=x<30,-90<=x<-30,,GLN,N/A,N/A,N/A,,,,,
GLU,0<=x<120,120<=x<240,-120<=x<0,,GLU,0<=x<120,120<=x<240,-120<=x<0,,GLU,30<=x<90,-30<=x<30,-90<=x<-30,,GLU,N/A,N/A,N/A,,,,,
HIS,0<=x<120,120<=x<240,-120<=x<0,,HIS,30<=x<150,-30<=x<30,N/A,,HIS,N/A,N/A,N/A,,HIS,N/A,N/A,N/A,,,,,
ILE,0<=x<120,120<=x<240,-120<=x<0,,ILE,0<=x<120,120<=x<240,-120<=x<0,,ILE,N/A,N/A,N/A,,ILE,N/A,N/A,N/A,,,,,
LEU,0<=x<120,120<=x<240,-120<=x<0,,LEU,0<=x<120,120<=x<240,-120<=x<0,,LEU,N/A,N/A,N/A,,LEU,N/A,N/A,N/A,,,,,
LYS,0<=x<120,120<=x<240,-120<=x<0,,LYS,0<=x<120,120<=x<240,-120<=x<0,,LYS,0<=x<120,120<=x<240,-120<=x<0,,LYS,0<=x<120,120<=x<240,-120<=x<0,,,,,
MET,0<=x<120,120<=x<240,-120<=x<0,,MET,0<=x<120,120<=x<240,-120<=x<0,,MET,0<=x<120,120<=x<240,-120<=x<0,,MET,N/A,N/A,N/A,,,,,
PHE,0<=x<120,120<=x<240,-120<=x<0,,PHE,30<=x<150,-30<=x<30,N/A,,PHE,N/A,N/A,N/A,,PHE,N/A,N/A,N/A,,,,,
PRO,x>=0,N/A,x<0,,PRO,N/A,N/A,N/A,,PRO,N/A,N/A,N/A,,PRO,N/A,N/A,N/A,,,,,
SER,0<=x<120,120<=x<240,-120<=x<0,,SER,N/A,N/A,N/A,,SER,N/A,N/A,N/A,,SER,N/A,N/A,N/A,,,,,
THR,0<=x<120,120<=x<240,-120<=x<0,,THR,N/A,N/A,N/A,,THR,N/A,N/A,N/A,,THR,N/A,N/A,N/A,,,,,
TRP,0<=x<120,120<=x<240,-120<=x<0,,TRP,-180<=x<-60,-60<=x<60,60<=x<180,,TRP,N/A,N/A,N/A,,TRP,N/A,N/A,N/A,,,,,
TYR,0<=x<120,120<=x<240,-120<=x<0,,TYR,30<=x<150,-30<=x<30,N/A,,TYR,N/A,N/A,N/A,,TYR,N/A,N/A,N/A,,,,,
VAL,0<=x<120,120<=x<240,-120<=x<0,,VAL,N/A,N/A,N/A,,VAL,N/A,N/A,N/A,,VAL,N/A,N/A,N/A,,,,,