ARG,N,CA,CB,CG
ARG,CA,CB,CG,CD
ARG,CB,CG,CD,NE
ARG,CG,CD,NE,CZ
ARG,CD,NE,CZ,NH1
ASN,N,CA,CB,CG
ASN,CA,CB,CG,OD1
ASP,N,CA,CB,CG
ASP,CA,CB,CG,OD1
CYS,N,CA,CB,SG
GLN,N,CA,CB,CG
GLN,CA,CB,CG,CD
GLN,CB,CG,CD,OE1
GLU,N,CA,CB,CG
GLU,CA,CB,CG,CD
GLU,CB,CG,CD,OE1
HIS,N,CA,CB,CG
HIS,CA,CB,CG,ND1
ILE,N,CA,CB,CG1
ILE,CA,CB,CG1,CD1
LYS,N,CA,CB,CG
LYS,CA,CB,CG,CD
LYS,CB,CG,CD,CE
LYS,CG,CD,CE,NZ
LEU,N,CA,CB,CG
LEU,CA,CB,CG,CD1
MET,N,CA,CB,CG
MET,CA,CB,CG,SD
MET,CB,CG,SD,CE
PHE,N,CA,CB,CG
PHE,CA,CB,CG,CD1
PRO,N,CA,CB,CG
PRO,CA,CB,CG,CD
SER,N,CA,CB,OG
THR,N,CA,CB,OG1
TRP,N,CA,CB,CG
TRP,CA,CB,CG,CD1
TYR,N,CA,CB,CG
TYR,CA,CB,CG,CD1
VAL,N,CA,CB,CG1